tweet_id,label,text
570306133677760513,neutral,@VirginAmerica What @dhepburn said.
570301130888122368,positive,@VirginAmerica plus you've added commercials to the experience... tacky.
570301083672813571,neutral,@VirginAmerica I didn't today... Must mean I need to take another trip!
570301031407624196,negative,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
570300817074462722,negative,@VirginAmerica and it's a really big bad thing about it
570300767074181121,negative,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
570300616901320704,positive,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"
570300248553349120,neutral,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"
570299953286942721,positive,"@virginamerica Well, I didn't…but NOW I DO! :-D"
570295459631263746,positive,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
570294189143031808,neutral,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24
570289724453216256,positive,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D
570289584061480960,positive,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
570287408438120448,positive,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
570285904809598977,positive,@VirginAmerica Thanks!
570282469121007616,negative,@VirginAmerica SFO-PDX schedule is still MIA.
570277724385734656,positive,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
570276917301137409,negative,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
570270684619923457,positive,I ❤️ flying @VirginAmerica. ☺️👍
570267956648792064,positive,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
570265883513384960,negative,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
570264145116819457,positive,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
570259420287868928,positive,@VirginAmerica I love the hipster innovation. You are a feel good brand.
570258822297579520,neutral,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?
570256553502068736,negative,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet
570249102404923392,negative,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
570239632807370753,negative,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
570217831557677057,neutral,@VirginAmerica do you miss me? Don't worry we'll be together very soon.
570207886493782019,negative,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
570124596180955136,neutral,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
570114021854212096,negative,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
570094701371469825,neutral,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
570088404156698625,negative,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
570084582780899328,negative,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
570076792993611776,positive,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
570051991277342720,neutral,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
570051381534396416,positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
570045393565691904,positive,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
570038941497192448,neutral,@VirginAmerica when can I book my flight to Hawaii??
570035876845084672,negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
570033593394667521,positive,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
570025482344898560,negative,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
570016304284901379,neutral,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️
570015408788414464,neutral,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp
570013523650048002,neutral,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?
570012257549070337,positive,@VirginAmerica I'm #elevategold for a good reason: you rock!!
570011341483843584,neutral,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
570010571707256832,positive,@VirginAmerica wow this just blew my mind
570010539499393025,neutral,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
